Time,Emotion,Attention
23:27:01,No Face,False
23:27:01,No Face,False
23:27:01,No Face,False
23:27:02,No Face,False
23:27:02,No Face,False
23:27:02,No Face,False
23:27:02,No Face,False
23:27:02,No Face,False
23:27:03,No Face,False
23:27:03,No Face,False
23:27:03,No Face,False
23:27:03,No Face,False
23:27:03,No Face,False
23:27:03,No Face,False
23:27:03,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:04,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:05,No Face,False
23:27:06,No Face,False
23:27:06,No Face,False
23:27:06,No Face,False
23:27:06,No Face,False
23:27:06,No Face,False
23:27:06,No Face,False
23:27:06,No Face,False
23:27:07,No Face,False
23:27:07,No Face,False
23:27:07,No Face,False
23:27:07,No Face,False
23:27:07,No Face,False
23:27:07,No Face,False
23:27:07,No Face,False
23:27:08,No Face,False
23:27:08,No Face,False
23:27:08,No Face,False
23:27:08,No Face,False
23:27:08,No Face,False
23:27:08,No Face,False
23:27:08,No Face,False
23:27:09,No Face,False
23:27:09,No Face,False
23:27:09,No Face,False
23:27:09,No Face,False
23:27:09,No Face,False
23:27:09,No Face,False
23:27:09,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:10,No Face,False
23:27:11,No Face,False
23:27:11,No Face,False
23:27:11,No Face,False
23:27:11,No Face,False
23:27:11,No Face,False
23:27:11,No Face,False
23:27:11,No Face,False
23:27:12,No Face,False
23:27:12,No Face,False
23:27:12,No Face,False
23:27:12,No Face,False
23:27:12,No Face,False
23:27:12,No Face,False
23:27:12,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:13,No Face,False
23:27:14,No Face,False
23:27:14,No Face,False
23:27:14,No Face,False
23:27:14,No Face,False
23:27:14,No Face,False
23:27:14,No Face,False
23:27:14,No Face,False
23:27:15,No Face,False
23:27:15,No Face,False
23:27:15,No Face,False
23:27:15,No Face,False
23:27:15,No Face,False
23:27:15,No Face,False
23:27:15,No Face,False
23:27:16,No Face,False
23:27:16,No Face,False
